"","logFC","AveExpr","t","P.Value","adj.P.Val","B","significant"
"TXNRD1",0.0476652173913043,-0.0127717391304348,0.294701034063721,0.77067370286434,0.966823591673818,-4.90102533432799,"NO"
"HMMR",0.0369739130434783,0.0732869565217391,0.29373073686972,0.771406443390509,0.966823591673818,-4.90116731598881,"NO"
"GABRA4",-0.0638847826086955,0.171725,-0.292427927045196,0.772390628322766,0.966823591673818,-4.90135722486776,"NO"
"POLR2F",0.0296695652173913,0.182658695652174,0.291597910486636,0.773017852694377,0.966823591673818,-4.90147777964496,"NO"
"PAG1",0.0535652173913042,-0.135004347826087,0.29156344543139,0.77304390054831,0.966823591673818,-4.90148277814864,"NO"
"GLIPR1",-0.0127826086956522,0.00639130434782609,-0.290925282199148,0.773526257862664,0.966823591673818,-4.90157522599519,"NO"
"VIT",0.0297999999999998,0.14555652173913,0.290725411094151,0.773677350053303,0.966823591673818,-4.90160413919973,"NO"
"CDSN",0.0424695652173913,0.138552173913043,0.290194854736366,0.774078467283277,0.966823591673818,-4.9016807936976,"NO"
"HCG22",0.0339695652173914,0.0549978260869565,0.290109805016726,0.774142773494085,0.966823591673818,-4.90169306874781,"NO"
"HSPB1",-0.0632673913043478,-0.154948913043478,-0.290089969087899,0.774157771703936,0.966823591673818,-4.90169593111429,"NO"
"SEC31A",0.0817434782608696,-0.152319565217391,0.289771852242956,0.774398316305753,0.966823591673818,-4.90174180958366,"NO"
"PHACTR2",0.110217391304348,-0.0814195652173913,0.289687286297937,0.77446226486027,0.966823591673818,-4.90175399721072,"NO"
"TNFSF12",-0.0309565217391304,-0.0182173913043478,-0.289020816384496,0.77496630453733,0.966823591673818,-4.90184992550208,"NO"
"LZTFL1",0.0577695652173913,0.0195369565217391,0.28864959253429,0.775247098387566,0.966823591673818,-4.90190326274298,"NO"
"INSL5",0.0893695652173912,0.440480434782609,0.287782673865543,0.775902957406706,0.966823591673818,-4.90202755688512,"NO"
"OMD",-0.0338913043478263,-0.00775652173913044,-0.287444853084776,0.776158578452107,0.966823591673818,-4.90207589160956,"NO"
"DBI",0.0691304347826088,-0.0720217391304347,0.287324866982674,0.776249375311284,0.966823591673818,-4.90209304545693,"NO"
"GUCA2A",-0.0351,-0.0053913043478261,-0.285097358026829,0.777935582126393,0.966823591673818,-4.90241021427455,"NO"
"HRG",0.0261239130434783,0.0551554347826087,0.28468262669423,0.778249653381859,0.966823591673818,-4.90246899685044,"NO"
"PAMR1",-0.0272782608695651,0.0237260869565217,-0.284577537573322,0.778329242269455,0.966823591673818,-4.90248387836235,"NO"
"IGFBP7",0.0269869565217392,0.104697826086957,0.284388690983838,0.778472270792538,0.966823591673818,-4.90251060697126,"NO"
"TSC1",-0.046813043478261,0.0986108695652174,-0.284133430878397,0.778665612205551,0.966823591673818,-4.90254670756817,"NO"
"CHMP1A",-0.081936956521739,-0.161561956521739,-0.283688342020606,0.77900277020088,0.966823591673818,-4.9026095782412,"NO"
"C5",0.0148065217391305,0.011625,0.283586288246107,0.779080082889444,0.966823591673818,-4.90262398001209,"NO"
"CYB5R2",-0.039695652173913,0.0925391304347826,-0.283468519750887,0.779169303433389,0.966823591673818,-4.9026405930586,"NO"
"LILRA6",-0.0486195652173914,0.055279347826087,-0.283431876518359,0.77919706470633,0.966823591673818,-4.90264576075293,"NO"
"TERF1",-0.0221934782608696,0.0931858695652173,-0.283337709639018,0.779268407830504,0.966823591673818,-4.90265903781475,"NO"
"PRKG1",0.111182608695652,-0.219495652173913,0.283321983847513,0.779280322265999,0.966823591673818,-4.90266125464747,"NO"
"KRT14",0.0238739130434784,0.0456717391304348,0.282845747845819,0.779641162161782,0.966860889689813,-4.90272833095048,"NO"
"SRC",0.120995652173913,-0.445267391304348,0.282113019743853,0.780196442311533,0.966994762395094,-4.90283131511418,"NO"
"FRMD7",0.0228695652173913,0.0272478260869565,0.281830258861702,0.78041075760863,0.966994762395094,-4.90287098611912,"NO"
"AP1G2",0.0975217391304348,0.149176086956522,0.280984309289444,0.781052040865879,0.96721450697842,-4.90298943656036,"NO"
"LY96",0.0290173913043479,0.0218217391304348,0.280639068439219,0.781313800706095,0.96721450697842,-4.90303767609577,"NO"
"NRCAM",-0.0229804347826086,0.121659782608696,-0.280286958717132,0.78158079558092,0.96721450697842,-4.90308681489736,"NO"
"TXLNA",0.0878,-0.0851043478260869,0.279291976969196,0.782335409797305,0.967738638526247,-4.90322533966378,"NO"
"CNTN5",0.034186956521739,-0.0958934782608696,0.278199116315913,0.783164507966682,0.96780809319613,-4.90337692917084,"NO"
"CD2AP",-0.0636891304347826,0.0626184782608696,-0.277595602780085,0.783622475318304,0.96780809319613,-4.90346038955436,"NO"
"BRD3",-0.0245934782608695,0.0553967391304348,-0.277573796044261,0.783639024528941,0.96780809319613,-4.90346340186486,"NO"
"GLOD4",0.0340891304347826,0.0228358695652174,0.277138309437556,0.783969538631886,0.96780809319613,-4.90352350946165,"NO"
"PDIA3",0.0185391304347826,0.0259347826086956,0.277036171145208,0.784047062842434,0.96780809319613,-4.90353759346071,"NO"
"ADRA2A",0.0406652173913045,0.0511195652173913,0.275605706819823,0.785133041423677,0.968739501933899,-4.90373430187144,"NO"
"CERT",0.0630391304347826,-0.0836282608695652,0.275078034524997,0.785533751431552,0.968824960098915,-4.90380660931226,"NO"
"SH3GLB2",-0.0511913043478262,0.248341304347826,-0.274538126321445,0.785943815729788,0.968921878270001,-4.90388045134673,"NO"
"GALNT10",0.0238413043478262,0.0827836956521739,0.272321485044243,0.787628030796877,0.969251591861572,-4.90418210980763,"NO"
"ERBB3",-0.0182673913043477,0.0208054347826087,-0.270896744739294,0.788711112931966,0.969251591861572,-4.90437472060666,"NO"
"CORO1A",-0.0768565217391303,-0.0778326086956522,-0.269932939522895,0.789444040017187,0.969251591861572,-4.90450444975224,"NO"
