"","logFC","AveExpr","t","P.Value","adj.P.Val","B","significant"
"ATXN3",0.0695187694770505,0.00788164556962027,1.0575745081132,0.290789341057251,0.526172763502963,-6.47023525857967,"NO"
"MSMB",-0.0930704112635051,-0.017443776371308,-1.05588702822162,0.291558894623187,0.527232603896155,-6.47200419653153,"NO"
"NPHS2",-0.151819384112622,0.393912130801688,-1.05484881733654,0.292033039127475,0.527757250294643,-6.47309112700856,"NO"
"SAA4",-0.0341153691902038,-0.0804053797468355,-1.05422458296308,0.292318373152886,0.527818305700922,-6.47374414221694,"NO"
"GDF2",0.0490425547726904,0.133806856540084,1.05377725257347,0.292522960864205,0.527818305700922,-6.4742118605067,"NO"
"FAM3B",0.0439288726517002,-0.0905856540084389,1.05304594085009,0.292857635884705,0.527818305700922,-6.47497607758337,"NO"
"OGA",-0.0733338224468163,-0.14492141350211,-1.05301389608781,0.292872306636131,0.527818305700922,-6.47500955212307,"NO"
"NFIC",0.0661207910749336,0.132883016877637,1.05268777467016,0.293021639880204,0.527818305700922,-6.47535016680618,"NO"
"APRT",-0.0733481225688115,0.0223467299578059,-1.05236160527779,0.293171046367353,0.527818305700922,-6.47569072656428,"NO"
"VPS4B",-0.103936411301413,0.0211878691983123,-1.05124799648014,0.293681537008139,0.52811809769299,-6.47685267547245,"NO"
"DUOX2",-0.096220974146729,0.231237974683544,-1.05094479266431,0.293820632548291,0.52811809769299,-6.47716882884192,"NO"
"EPPK1",-0.0734306226395978,0.110644198312236,-1.05079364732609,0.293889987419112,0.52811809769299,-6.47732639555482,"NO"
"DCTN6",-0.0763129510439529,-0.16039746835443,-1.04679031842088,0.295730973035083,0.531035730498381,-6.48149159403159,"NO"
"AKR1B1",-0.114995892706364,-0.123294831223629,-1.0461050866557,0.29604686090665,0.531035730498381,-6.48220294614195,"NO"
"SNU13",-0.0557135070737564,-0.0801079113924051,-1.04605689814463,0.296069084054014,0.531035730498381,-6.4822529541016,"NO"
"HLA-E",0.0399912921128766,-0.00796740506329114,1.04419003104513,0.296930891404055,0.532248622841768,-6.48418854318977,"NO"
"CEACAM18",0.209822687610578,-0.130194303797468,1.04281431109421,0.297567045025889,0.533055768353685,-6.48561270286283,"NO"
"RTBDN",0.0394551147898775,-0.134967827004219,1.04159381251545,0.298132186340997,0.533734775546804,-6.4868746112613,"NO"
"ROBO1",-0.0346527138413065,-0.00775991561181435,-1.04050537775468,0.298636782962222,0.534304612311699,-6.4879987342637,"NO"
"IGFBP3",0.043362700997917,-0.0341216244725739,1.04002724049982,0.298858627358464,0.534368169117253,-6.48849217912937,"NO"
"PIK3AP1",0.0732914730331041,-0.053185970464135,1.03943120811013,0.299135326799026,0.53452966807452,-6.48910697743332,"NO"
"ADAMTS4",0.0664808629172613,0.152989240506329,1.03772148533407,0.299929992237822,0.535345185388915,-6.49086858385589,"NO"
"BRD3",-0.119355659208739,0.135444620253165,-1.03764616623109,0.299965032398879,0.535345185388915,-6.49094612222438,"NO"
"SDC1",-0.056852930226802,0.210436075949367,-1.03693322114557,0.300296846312058,0.535604076631207,-6.49167979663108,"NO"
"TNIP1",-0.0914462837600858,0.0722440928270042,-1.03588400105835,0.300785613222865,0.536142410642123,-6.49275861050512,"NO"
"BSND",-0.130120935271288,-0.819616983122363,-1.03451340502582,0.301424889896029,0.536827426519696,-6.49416622722692,"NO"
"IL1RAP",0.0525891756661838,-0.0469917721518988,1.03411209390423,0.301612242036221,0.536827426519696,-6.49457802689733,"NO"
"EIF4G3",-0.109782770643342,0.365073734177215,-1.03385682563436,0.301731454515254,0.536827426519696,-6.49483988402185,"NO"
"CHRDL2",0.0735507641182975,-0.125570569620253,1.03187830230422,0.302656508905299,0.538139409510476,-6.49686729359778,"NO"
"PPIF",-0.114323717081268,0.306977637130801,-1.03113353651551,0.303005212248796,0.538425618791541,-6.49762945985581,"NO"
"STX7",-0.063015437548671,-0.107016666666667,-1.03011209568674,0.303483891932029,0.53894229229787,-6.49867387442687,"NO"
"GUCY2C",-0.277573956750045,-0.613024683544303,-1.02797341362463,0.304487778412936,0.540390438420978,-6.50085732118411,"NO"
"PRKCQ",-0.0572347647888177,-0.354654852320675,-1.02591895688509,0.305454210376136,0.541770362002943,-6.50295052552697,"NO"
"RBP5",0.067321561070098,-0.0780654008438819,1.02300337953458,0.306829219891573,0.543872807570477,-6.505913935345,"NO"
"GPA33",0.155172345244537,-0.0110034810126582,1.01964076490485,0.308420155488316,0.546355161173866,-6.50932129040578,"NO"
"SARG",0.0993662108278669,-0.121103797468354,1.0184177887197,0.30900013044828,0.547044675386214,-6.51055776887653,"NO"
"IL18",-0.0522829184135882,0.0446245780590717,-1.01702648245337,0.309660811810286,0.547409735411554,-6.51196263945443,"NO"
"NMI",-0.0694404462381477,0.148747573839662,-1.01679216875035,0.309772171005916,0.547409735411554,-6.51219904943131,"NO"
"TFPI",0.042025777511519,0.236988502109705,1.01677792725917,0.309778940227668,0.547409735411554,-6.51221341658489,"NO"
"FOSB",0.0651599288417435,0.0717429324894515,1.01570567231447,0.310288882650973,0.547807543727458,-6.51329455736187,"NO"
